               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.068068,            0.013902,            0.011218,              0.4928,             0.66789,              0.6746,             0.22712,            0.070391,            0.010543,           0.0072881,           0.0082675,           0.0082675,           0.0082675
                  37,            0.068792,             0.01434,           0.0098486,              0.6021,             0.65284,             0.61693,             0.18752,            0.068999,            0.010584,           0.0069451,            0.008218,            0.008218,            0.008218
                  38,            0.070114,            0.014044,           0.0092559,             0.58465,             0.66431,             0.57395,             0.30531,            0.073151,           0.0095031,           0.0064936,           0.0081685,           0.0081685,           0.0081685
                  39,            0.074259,            0.014191,            0.010635,             0.46575,             0.44444,             0.57998,             0.26412,            0.070657,            0.009378,           0.0059778,            0.008119,            0.008119,            0.008119
                  40,            0.066039,             0.01412,           0.0087974,             0.46575,             0.44444,             0.57998,             0.26412,            0.070657,            0.009378,           0.0059778,           0.0080695,           0.0080695,           0.0080695
                  41,            0.064797,            0.014923,           0.0092898,             0.59375,             0.72222,             0.80505,             0.29318,            0.065646,           0.0095564,           0.0056019,             0.00802,             0.00802,             0.00802
                  42,            0.067278,            0.014354,           0.0090041,             0.86327,             0.44444,             0.54141,             0.25949,            0.075977,           0.0087204,           0.0056113,           0.0079705,           0.0079705,           0.0079705
                  43,            0.075654,            0.012829,           0.0083273,             0.45287,             0.66667,             0.74224,             0.17442,            0.069176,           0.0091774,           0.0054757,            0.007921,            0.007921,            0.007921
                  44,            0.065814,            0.013518,           0.0081661,             0.45287,             0.66667,             0.74224,             0.17442,            0.069176,           0.0091774,           0.0054757,           0.0078715,           0.0078715,           0.0078715
                  45,            0.064007,            0.015622,           0.0096824,             0.40521,             0.94444,             0.85098,             0.31651,            0.067568,           0.0091277,           0.0055172,            0.007822,            0.007822,            0.007822
                  46,            0.065061,            0.013276,           0.0082658,             0.45711,              0.9749,             0.58206,             0.23666,            0.068734,            0.008878,           0.0058405,           0.0077725,           0.0077725,           0.0077725
                  47,            0.068941,            0.012959,           0.0080514,             0.28023,             0.72222,             0.32175,             0.13809,            0.078373,           0.0086363,           0.0057438,            0.007723,            0.007723,            0.007723
                  48,            0.076016,            0.011872,           0.0078322,             0.28023,             0.72222,             0.32175,             0.13809,            0.078373,           0.0086363,           0.0057438,           0.0076735,           0.0076735,           0.0076735
                  49,            0.066402,            0.013365,           0.0080489,             0.44813,                 0.5,             0.46249,             0.14493,            0.065032,           0.0093264,           0.0059054,            0.007624,            0.007624,            0.007624
                  50,            0.063375,            0.012837,           0.0081965,              0.5594,             0.80264,             0.76552,             0.34961,            0.065897,           0.0084854,           0.0056721,           0.0075745,           0.0075745,           0.0075745
                  51,            0.065117,            0.014082,           0.0075158,             0.60427,             0.88889,             0.81986,             0.36379,            0.052777,           0.0097444,           0.0056828,            0.007525,            0.007525,            0.007525
                  52,            0.059716,            0.014851,           0.0077097,             0.60427,             0.88889,             0.81986,             0.36379,            0.052777,           0.0097444,           0.0056828,           0.0074755,           0.0074755,           0.0074755
                  53,            0.057537,            0.011355,           0.0076238,              0.7944,             0.88889,             0.92661,              0.3654,            0.057629,           0.0092131,           0.0054373,            0.007426,            0.007426,            0.007426
                  54,            0.059078,            0.014132,           0.0074303,               0.684,             0.83333,             0.86119,             0.35767,            0.059752,           0.0088946,           0.0053138,           0.0073765,           0.0073765,           0.0073765
                  55,             0.06144,            0.012709,           0.0068871,              0.3975,             0.72222,             0.62183,             0.18814,            0.056164,           0.0093547,           0.0052598,            0.007327,            0.007327,            0.007327
                  56,            0.060238,            0.013133,             0.00725,              0.3975,             0.72222,             0.62183,             0.18814,            0.056164,           0.0093547,           0.0052598,           0.0072775,           0.0072775,           0.0072775
                  57,            0.055062,            0.013127,           0.0069945,             0.46956,             0.94444,             0.73139,             0.27231,            0.055414,           0.0095719,           0.0050872,            0.007228,            0.007228,            0.007228
                  58,            0.061308,            0.012265,           0.0067866,             0.50327,             0.83333,             0.85298,             0.35408,            0.068638,           0.0084862,           0.0046475,           0.0071785,           0.0071785,           0.0071785
                  59,            0.065103,            0.011781,           0.0062953,             0.54952,             0.77778,             0.81586,              0.3226,            0.050406,           0.0093622,           0.0047835,            0.007129,            0.007129,            0.007129
                  60,            0.053693,            0.013795,           0.0060845,             0.54952,             0.77778,             0.81586,              0.3226,            0.050406,           0.0093622,           0.0047835,           0.0070795,           0.0070795,           0.0070795
                  61,            0.050868,            0.013029,           0.0061809,             0.49583,             0.97761,             0.93121,             0.56393,            0.046264,           0.0093613,           0.0049385,             0.00703,             0.00703,             0.00703
                  62,            0.057558,            0.012168,           0.0069162,             0.55449,             0.95317,             0.93925,             0.35872,            0.055598,           0.0086995,           0.0048163,           0.0069805,           0.0069805,           0.0069805
                  63,            0.058771,            0.012138,           0.0058251,              0.4436,             0.94444,              0.8299,             0.33106,            0.048945,           0.0091463,           0.0049502,            0.006931,            0.006931,            0.006931
                  64,            0.051694,            0.012442,           0.0068857,              0.4436,             0.94444,              0.8299,             0.33106,            0.048945,           0.0091463,           0.0049502,           0.0068815,           0.0068815,           0.0068815
                  65,            0.048238,            0.013044,           0.0062838,             0.54913,             0.95317,             0.87354,             0.43521,            0.045064,           0.0089809,           0.0049342,            0.006832,            0.006832,            0.006832
                  66,            0.047843,            0.011671,           0.0060289,             0.55793,             0.99793,             0.88891,             0.55861,            0.050348,           0.0085559,           0.0047746,           0.0067825,           0.0067825,           0.0067825
                  67,            0.056718,            0.012703,           0.0058577,              0.8529,                   1,               0.935,             0.41289,            0.049275,           0.0086391,           0.0049041,            0.006733,            0.006733,            0.006733
                  68,            0.051216,            0.011518,           0.0060487,              0.8529,                   1,               0.935,             0.41289,            0.049275,           0.0086391,           0.0049041,           0.0066835,           0.0066835,           0.0066835
                  69,            0.050873,            0.010642,           0.0067351,             0.66419,             0.94444,             0.88314,             0.35931,            0.045569,           0.0085571,           0.0047696,            0.006634,            0.006634,            0.006634
                  70,            0.049322,            0.011943,           0.0062678,             0.56896,                   1,             0.81328,              0.4114,            0.049121,           0.0085023,           0.0047327,           0.0065845,           0.0065845,           0.0065845
